"","x","number","activity","date_opened","rid","st","type","scope","sic","naics","violations","establishment_name"
"59",NA,59,1734973.015,"03/14/2024",627100,"AR","Referral","Partial",NA,332111,NA,"Southwest Steel Processing, Llc"
"60",NA,60,1734396.015,"03/13/2024",627100,"AR","Complaint","No Insp/Process Inactive",NA,321999,NA,"Sandidge Pallet Service, Ltd"
"61",NA,61,1734365.015,"03/13/2024",627100,"AR","Complaint","Partial",NA,448140,1,"Citi Trends, Inc."
"62",NA,62,1733298.015,"03/08/2024",627100,"AR","FollowUp","Partial",NA,336390,NA,"Saf-Holland, Inc."
"63",NA,63,1733290.015,"03/06/2024",627100,"AR","Planned","Complete",NA,238220,NA,"A-C Specialties, Inc."
"64",NA,64,1733274.015,"03/06/2024",627100,"AR","Planned","Complete",NA,238320,NA,"Savage Brothers Painting, Inc."
"65",NA,65,1732864.015,"03/06/2024",627100,"AR","Planned","Complete",NA,238220,NA,"Comfort Systems Usa Arkansas,Inc"
"66",NA,66,1732829.015,"03/06/2024",627100,"AR","Planned","Complete",NA,238310,NA,"F L Crane & Sons, Inc."
"67",NA,67,1732635.015,"03/06/2024",627100,"AR","Planned","Complete",NA,236116,NA,"Vcc, Llc"
"68",NA,68,1732780.015,"03/06/2024",627100,"AR","Planned","Complete",NA,236220,NA,"Alston Construction Company, Inc."
"69",NA,69,1732951.015,"03/06/2024",627100,"AR","Planned","Complete",NA,238310,NA,"Ram & Sons Construction, Llc"
"70",NA,70,1732938.015,"03/06/2024",627100,"AR","Planned","Complete",NA,238990,NA,"Ahern Fire Protection"
"71",NA,71,1733316.015,"03/06/2024",627100,"AR","Planned","Complete",NA,238210,NA,"Johnson Brothers Service, Inc."
"72",NA,72,1732800.015,"03/06/2024",627100,"AR","Complaint","Partial",NA,311824,NA,"Newly Weds Foods Inc"
"73",NA,73,1732798.015,"03/06/2024",627100,"AR","Planned","Complete",NA,238210,NA,"Arnold Electric Company, Inc."
"74",NA,74,1732934.015,"03/06/2024",627100,"AR","Prog Related","Complete",NA,238320,NA,"Gemini Painting & Renovations, Llc"
"75",NA,75,1732920.015,"03/06/2024",627100,"AR","Prog Related","Complete",NA,922160,NA,"Johnson Controls Fire Protection Lp"
"76",NA,76,1732867.015,"03/06/2024",627100,"AR","Prog Related","Complete",NA,236116,NA,"Kimbel Mechanical Systems, Inc."
"77",NA,77,1732874.015,"03/06/2024",627100,"AR","Prog Related","Complete",NA,236116,NA,"Us Framing International, Llc"
"78",NA,78,1732879.015,"03/06/2024",627100,"AR","Prog Related","Complete",NA,238140,NA,"Masonry Enterprises, Inc."
"79",NA,79,1732886.015,"03/06/2024",627100,"AR","Prog Related","Complete",NA,238160,NA,"Aq Roofing, Llc"
"80",NA,80,1732912.015,"03/06/2024",627100,"AR","Prog Related","Complete",NA,238220,NA,"M & I Heating And Air, Co."
"81",NA,81,1732228.015,"03/05/2024",627100,"AR","Complaint","Partial",NA,722513,1,"Mug Shots L.L.C."
"82",NA,82,1732465.015,"03/05/2024",627100,"AR","Referral","Complete",NA,493110,NA,"Abernathy Company"
"83",NA,83,1732259.015,"03/04/2024",627100,"AR","Referral","Partial",NA,336212,NA,"Xpo Enterprise Services, Llc."
"84",NA,84,1731180.015,"02/29/2024",627100,"AR","Complaint","Partial",NA,445110,NA,"Kroger Marketplace"
"85",NA,85,1731680.015,"02/29/2024",627100,"AR","Referral","Partial",NA,324122,NA,"Certainteed Llc"
"86",NA,86,1731536.015,"02/28/2024",627100,"AR","Unprog Rel","Partial",NA,561311,1,"Wise Staffing Services, Inc."
"87",NA,87,1730577.015,"02/27/2024",627100,"AR","Complaint","Partial",NA,722511,NA,"Austin Fish & Seafood Inc"
"88",NA,88,1730811.015,"02/27/2024",627100,"AR","Complaint","Partial",NA,238160,NA,"United Builders Of Russellville, Llc"
"89",NA,89,1730483.015,"02/26/2024",627100,"AR","Complaint","Partial",NA,337110,NA,"Woodunique, Inc."
"90",NA,90,1730039.015,"02/23/2024",627100,"AR","Unprog Rel","Partial",NA,541330,NA,"Garver Llc"
"91",NA,91,1730157.015,"02/23/2024",627100,"AR","Prog Related","No Insp/Denied Entry",NA,337110,NA,"Woodunique, Inc."
"92",NA,92,1730172.015,"02/22/2024",627100,"AR","Prog Related","Partial",NA,331110,NA,"Big River Steel, Llc"
"93",NA,93,1729947.015,"02/22/2024",627100,"AR","Unprog Rel","Partial",NA,926140,NA,"U.S. Department Of Agriculture"
"94",NA,94,1729688.015,"02/22/2024",627100,"AR","Complaint","Partial",NA,336510,NA,"Union Pacific Railroad - North Little Rock Terminal"
"95",NA,95,1730160.015,"02/22/2024",627100,"AR","Referral","Partial",NA,237990,NA,"Stevens Engineers & Constructors, Inc"
"96",NA,96,1729339.015,"02/21/2024",627100,"AR","Complaint","Partial",NA,337110,NA,"D & D Cabinet Doors, Inc."
"97",NA,97,1729590.015,"02/21/2024",627100,"AR","Complaint","Partial",NA,238220,NA,"Roberts Heating And Air"
"98",NA,98,1729029.015,"02/20/2024",627100,"AR","Complaint","Partial",NA,321920,NA,"Tharp Pallet Company, Inc."
"99",NA,99,1728519.015,"02/15/2024",627100,"AR","Referral","Partial",NA,517311,NA,"3e8 Broadband Solutions, Llc"
"100",NA,100,1728615.015,"02/15/2024",627100,"AR","Fat/Cat","Partial",NA,311615,NA,"George'S Farms, Inc"
"101",NA,101,1727976.015,"02/14/2024",627100,"AR","Referral","Partial",NA,811310,NA,"Jackson Industrial, Inc."
"102",NA,102,1728565.015,"02/13/2024",627100,"AR","Referral","Partial",NA,111998,NA,"Bjb Farms"
"103",NA,103,1727793.015,"02/13/2024",627100,"AR","FollowUp","Partial",NA,311615,NA,"Peco Foods, Inc"
"104",NA,104,1727160.015,"02/09/2024",627100,"AR","Complaint","Partial",NA,491110,NA,"U.S. Postal Service"
"105",NA,105,1726651.015,"02/06/2024",627100,"AR","Complaint","Partial",NA,424720,NA,"Mid-South Sales, Inc."
"106",NA,106,1726605.015,"02/06/2024",627100,"AR","Complaint","Partial",NA,311615,NA,"Tyson Foods, Inc."
"107",NA,107,1725997.015,"02/06/2024",627100,"AR","Prog Related","Partial",NA,561320,NA,"Labor Finders International, Inc."
"108",NA,108,1725904.015,"02/05/2024",627100,"AR","Complaint","Partial",NA,327331,NA,"Newoods, Inc."
"109",NA,109,1725717.015,"02/05/2024",627100,"AR","Planned","Partial",NA,236220,NA,"Bailey Construction And Consulting, Llc"
"110",NA,110,1725724.015,"02/05/2024",627100,"AR","Planned","Partial",NA,238160,1,"Fraley Roofing, Inc."
"111",NA,111,1725702.015,"02/05/2024",627100,"AR","Complaint","No Insp/Process Inactive",NA,237110,NA,"R. Crossfield Plumbing L.L.C."
"112",NA,112,1725464.015,"02/02/2024",627100,"AR","Complaint","Partial",NA,451211,NA,"Gt Marketplace, Llc"
"113",NA,113,1725448.015,"02/01/2024",627100,"AR","Referral","Partial",NA,928110,NA,"U.S. Army Corps Of Engineers"
"114",NA,114,1724660.015,"01/31/2024",627100,"AR","Complaint","Partial",NA,441320,NA,"Sun Auto Tire & Service, Inc"
"115",NA,115,1731513.015,"01/31/2024",627100,"AR","Prog Related","Partial",NA,311615,NA,"George'S, Inc."
"116",NA,116,1725412.015,"01/31/2024",627100,"AR","Referral","Partial",NA,561720,NA,"Fayette Janitorial Service Llc"
"117",NA,117,1723588.015,"01/30/2024",627100,"AR","Referral","Complete",NA,811219,NA,"Unlimited Contractors, Llc"
"118",NA,118,1724198.015,"01/30/2024",627100,"AR","Referral","Partial",NA,311412,NA,"Sage V Foods, Llc"
"119",NA,119,1725456.015,"01/26/2024",627100,"AR","Complaint","Partial",NA,442299,2,"Pam Rodgers Interiors Inc."
"120",NA,120,1724004.015,"01/26/2024",627100,"AR","Referral","Partial",NA,623110,NA,"Eaglecrest Nursing & Rehab Center"
"121",NA,121,1723738.015,"01/26/2024",627100,"AR","Complaint","Partial",NA,238220,NA,"Mid-Town Mechanical Services Llc"
"122",NA,122,1723391.015,"01/25/2024",627100,"AR","Complaint","Partial",NA,333993,NA,"Actionpaq Corporation"
"123",NA,123,1723937.015,"01/24/2024",627100,"AR","Complaint","No Insp/Process Inactive",NA,236220,NA,"Goodwin & Goodwin, Inc."
"124",NA,124,1723032.015,"01/24/2024",627100,"AR","Complaint","Partial",NA,722511,NA,"Papparadella, Inc."
"125",NA,125,1725895.015,"01/24/2024",627100,"AR","Complaint","No Insp/Process Inactive",NA,236220,NA,"Goodwin & Goodwin, Inc."
"126",NA,126,1722694.015,"01/23/2024",627100,"AR","Complaint","Partial",NA,336212,NA,"Calico Trailer Mfg. Co."
"127",NA,127,1722841.015,"01/23/2024",627100,"AR","Referral","Partial",NA,321114,NA,"Hixson Lumber Company, Llc"
"128",NA,128,1722685.015,"01/22/2024",627100,"AR","Referral","Partial",NA,335314,NA,"Controltek, Inc."
"129",NA,129,1721845.015,"01/18/2024",627100,"AR","Fat/Cat","Partial",NA,423930,NA,"Davis Iron & Metal, Inc."
"130",NA,130,1721042.015,"01/12/2024",627100,"AR","Complaint","Partial",NA,721110,1,"Medina Holdings, Llc"
"131",NA,131,1720574.015,"01/11/2024",627100,"AR","Complaint","Partial",NA,562211,1,"Veolia North America, Inc."
"132",NA,132,1721040.015,"01/11/2024",627100,"AR","Complaint","Partial",NA,721110,1,"Medina Holdings, Llc"
"133",NA,133,1720149.015,"01/09/2024",627100,"AR","Complaint","Partial",NA,332312,NA,"All Steel Construction, Inc."
"134",NA,134,1720014.015,"01/08/2024",627100,"AR","Referral","Partial",NA,322121,NA,"Evergreen Packaging Llc"
"135",NA,135,1719998.015,"01/08/2024",627100,"AR","Referral","Partial",NA,321113,NA,"Georgia Pacific Llc"
"136",NA,136,1719749.015,"01/05/2024",627100,"AR","Referral","Partial",NA,111110,NA,"Willoughby Farms"
"137",NA,137,1719684.015,"01/05/2024",627100,"AR","Complaint","Complete",NA,484210,NA,"Brandon Moving & Storage"
"138",NA,138,1719583.015,"01/04/2024",627100,"AR","Complaint","Partial",NA,622110,NA,"Arkansas Hma Regional Service Center, Llc"
"139",NA,139,1719562.015,"01/04/2024",627100,"AR","Complaint","Partial",NA,445120,NA,"Nasmal Investment Inc"
"140",NA,140,1719248.015,"01/03/2024",627100,"AR","Complaint","Partial",NA,424130,NA,"Lamb And Associates"
"141",NA,141,1718497.015,"12/28/2023",627100,"AR","Unprog Rel","Partial",NA,811310,NA,"Brown & Root Industrial Services, Llc"
"142",NA,142,1718496.015,"12/27/2023",627100,"AR","FollowUp","Partial",NA,332618,NA,"Unified Screening & Crushing - Ar, Inc"
"143",NA,143,1719744.015,"12/21/2023",627100,"AR","Planned","Partial",NA,238990,1,"Coring & Cutting Services, Inc."
"144",NA,144,1719731.015,"12/21/2023",627100,"AR","Planned","Partial",NA,237110,NA,"Marshall Excavating, Llc"
"145",NA,145,1717584.015,"12/20/2023",627100,"AR","Complaint","Partial",NA,327390,NA,"Paragould Vault Company, Inc."
"146",NA,146,1717591.015,"12/20/2023",627100,"AR","Planned","Partial",NA,561730,1,"Nathan Paquette"
"147",NA,147,1717132.015,"12/18/2023",627100,"AR","Unprog Rel","Partial",NA,336330,NA,"Saint Jean Industries, Inc."
"148",NA,148,1717120.015,"12/18/2023",627100,"AR","Fat/Cat","Partial",NA,445110,NA,"The Kroger Co."
"149",NA,149,1716766.015,"12/14/2023",627100,"AR","Referral","Partial",NA,322299,NA,"Signode Industrial Group, Llc"
"150",NA,150,1715802.015,"12/12/2023",627100,"AR","Referral","Partial",NA,331210,NA,"Welspun Tubular Llc"
"151",NA,151,1716688.015,"12/12/2023",627100,"AR","Referral","Partial",NA,336370,NA,"Defiance Metal Products Of Arkansas"
"152",NA,152,1714893.015,"12/07/2023",627100,"AR","Unprog Rel","Partial",NA,238290,NA,"Precision Mill Maintenance Llc"
"153",NA,153,1713974.015,"12/04/2023",627100,"AR","Planned","No Insp/Exempt by Appropriation Act",NA,236117,NA,"Fuentes Masonry Llc"
"154",NA,154,1713845.015,"12/04/2023",627100,"AR","Fat/Cat","Complete",NA,561730,2,"Terry Jones"
"155",NA,155,1713850.015,"12/01/2023",627100,"AR","Referral","Partial",NA,321113,3,"Resolute El Dorado Inc."
"156",NA,156,1713013.015,"11/29/2023",627100,"AR","Referral","Partial",NA,326140,NA,"Pactiv Llc"
"157",NA,157,1715690.015,"11/29/2023",627100,"AR","Prog Other","Partial",NA,541620,NA,"Earthwise Environmental Inc."
"158",NA,158,1713185.015,"11/29/2023",627100,"AR","Referral","Partial",NA,332999,4,"Hollowell Industries, Inc."
"159",NA,159,1712717.015,"11/27/2023",627100,"AR","Referral","Partial",NA,493110,3,"Acme Brick Company"
"160",NA,160,1712124.015,"11/21/2023",627100,"AR","Unprog Rel","Partial",NA,236220,NA,"Cdi Contractors Llc"
"161",NA,161,1712105.015,"11/21/2023",627100,"AR","Complaint","Complete",NA,238140,3,"R & G Masonry Contractors, Inc."
"162",NA,162,1711574.015,"11/20/2023",627100,"AR","Referral","Partial",NA,213111,1,"Albemarle Corporation"
"163",NA,163,1711257.015,"11/16/2023",627100,"AR","Unprog Rel","Partial",NA,561320,NA,"Hoosier Investments"
"164",NA,164,1711414.015,"11/16/2023",627100,"AR","Fat/Cat","Complete",NA,562998,2,"Waste Recycling Services, Inc."
"165",NA,165,1710713.015,"11/15/2023",627100,"AR","Complaint","Partial",NA,812331,2,"Aramark Uniform And Career Apparel, Llc"
"166",NA,166,1710651.015,"11/15/2023",627100,"AR","Referral","Partial",NA,327213,1,"Arkansas Glass Container Corporation"
"167",NA,167,1711402.015,"11/15/2023",627100,"AR","Referral","Partial",NA,311111,3,"Schell & Kampeter, Inc."
"168",NA,168,1711151.015,"11/15/2023",627100,"AR","Referral","Partial",NA,332913,3,"Elkhart Products Corporation"
"169",NA,169,1710207.015,"11/14/2023",627100,"AR","Referral","Partial",NA,454310,1,"Ferrellgas"
"170",NA,170,1710325.015,"11/14/2023",627100,"AR","Referral","Partial",NA,238910,NA,"Arco Excavation And Paving, Inc."
"171",NA,171,1709902.015,"11/13/2023",627100,"AR","Complaint","Partial",NA,442299,NA,"The Tjx Companies, Inc."
"172",NA,172,1709332.015,"11/08/2023",627100,"AR","Referral","Partial",NA,311224,2,"Planters Cotton Oil Mill, Inc."
"173",NA,173,1715071.015,"11/08/2023",627100,"AR","Prog Related","Partial",NA,561320,NA,"Express Services, Inc."
"174",NA,174,1709074.015,"11/07/2023",627100,"AR","Referral","Partial",NA,332312,1,"W&W-Afco Steel, Llc"
"175",NA,175,1708139.015,"11/03/2023",627100,"AR","Referral","Partial",NA,322121,4,"Twin Rivers Pine Bluff Llc"
"176",NA,176,1708350.015,"11/03/2023",627100,"AR","Planned","Partial",NA,423330,NA,"Benjamin Fulton"
"177",NA,177,1708336.015,"11/03/2023",627100,"AR","Planned","Partial",NA,238160,NA,"Johnny B. Gurrieri"
"178",NA,178,1707960.015,"11/02/2023",627100,"AR","Complaint","Partial",NA,491110,NA,"U.S. Postal Service"
"179",NA,179,1707296.015,"10/31/2023",627100,"AR","Referral","Partial",NA,561730,NA,"Frank Sharum Landscape Design Inc."
"180",NA,180,1707216.015,"10/31/2023",627100,"AR","Planned","Complete",NA,236220,4,"Beshears Construction, Inc."
"181",NA,181,1706902.015,"10/30/2023",627100,"AR","Referral","Complete",NA,332311,4,"Pinnacle Structures, Inc."
"182",NA,182,1707432.015,"10/30/2023",627100,"AR","Unprog Rel","Partial",NA,236220,NA,"Crossland Construction Company, Inc."
"183",NA,183,1707127.015,"10/30/2023",627100,"AR","Referral","Partial",NA,312112,NA,"Ds Services Of America, Inc."
"184",NA,184,1706934.015,"10/30/2023",627100,"AR","Referral","Partial",NA,113310,NA,"Potlatchdeltic Land & Lumber Llc"
"185",NA,185,1706495.015,"10/27/2023",627100,"AR","Planned","Partial",NA,238220,2,"Pbm Plumbing Llc"
"186",NA,186,1706480.015,"10/27/2023",627100,"AR","Unprog Rel","Partial",NA,238220,NA,"Riverbend Air Conditioning Inc."
"187",NA,187,1706460.015,"10/27/2023",627100,"AR","Unprog Rel","Partial",NA,236220,NA,"Gorman & Company, Llc"
"188",NA,188,1705957.015,"10/26/2023",627100,"AR","Monitoring","Partial",NA,332999,NA,"Kiswire Pine Bluff, Inc."
"189",NA,189,1706570.015,"10/26/2023",627100,"AR","Referral","Partial",NA,311812,4,"East Baking Company Inc."
"190",NA,190,1706597.015,"10/26/2023",627100,"AR","Referral","Partial",NA,311812,1,"East Baking Company Inc."
"191",NA,191,1705801.015,"10/25/2023",627100,"AR","Complaint","Partial",NA,326150,NA,"Elite Comfort Solutions, Inc"
"192",NA,192,1706160.015,"10/25/2023",627100,"AR","Planned","Complete",NA,238160,3,"Ochoa Andrade Construction Co Inc"
"193",NA,193,1705920.015,"10/25/2023",627100,"AR","Complaint","Partial",NA,722310,2,"Compass Group Usa, Inc."
"194",NA,194,1705987.015,"10/25/2023",627100,"AR","Prog Related","Complete",NA,238160,3,"Absolute Roofing Solutions, Llc"
"195",NA,195,1705445.015,"10/24/2023",627100,"AR","Complaint","Partial",NA,447110,NA,"Circle K Stores, Inc."
"196",NA,196,1705486.015,"10/24/2023",627100,"AR","Referral","Partial",NA,237310,NA,"Manhattan Road & Bridge Company"
"197",NA,197,1705551.015,"10/24/2023",627100,"AR","Planned","Partial",NA,237120,1,"I & L Underground, Llc."
"198",NA,198,1704838.015,"10/20/2023",627100,"AR","Planned","Complete",NA,238160,2,"Laam Construction, Llc"
"199",NA,199,1704473.015,"10/19/2023",627100,"AR","Planned","Complete",NA,236220,1,"Blusky Restoration Contractors, Llc."
"200",NA,200,1704372.015,"10/19/2023",627100,"AR","Referral","Partial",NA,423120,NA,"Hino Motors Manufacturing U.S.A., Inc,"
"201",NA,201,1704484.015,"10/18/2023",627100,"AR","Complaint","Partial",NA,622110,NA,"U.S. Department Of Veterans Affairs"
"202",NA,202,1703979.015,"10/17/2023",627100,"AR","Referral","Partial",NA,236116,2,"Richardson Builders, Llc"
"203",NA,203,1703822.015,"10/17/2023",627100,"AR","Complaint","Partial",NA,326122,2,"Georg Fischer Harvel, Llc"
"204",NA,204,1704069.015,"10/16/2023",627100,"AR","Referral","Partial",NA,311212,2,"Harvest Rice - Otwell, Llc"
"205",NA,205,1703755.015,"10/16/2023",627100,"AR","Complaint","Partial",NA,423330,3,"Crossroads Building Supply,  Inc."
"206",NA,206,1703371.015,"10/12/2023",627100,"AR","Planned","No Insp/Not Found",NA,111219,NA,"Arkansas Crop Technologies, Inc."
"207",NA,207,1702861.015,"10/12/2023",627100,"AR","Complaint","Partial",NA,326122,NA,"Georg Fischer Llc"
"208",NA,208,1703163.015,"10/12/2023",627100,"AR","Referral","Partial",NA,332994,2,"White River Energetics Llc"
"209",NA,209,1703251.015,"10/12/2023",627100,"AR","Planned","No Insp/Process Inactive",NA,111219,NA,"Clanton Farms, Llc"
"210",NA,210,1702852.015,"10/12/2023",627100,"AR","Complaint","Complete",NA,442299,2,"The Tjx Companies, Inc."
"211",NA,211,1702463.015,"10/11/2023",627100,"AR","Planned","Partial",NA,238160,3,"Coyoy Rmz Roofing Llc"
"212",NA,212,1702530.015,"10/11/2023",627100,"AR","Referral","Partial",NA,622110,1,"Baxter County Regional Hospital, Inc"
"213",NA,213,1689270.015,"10/11/2023",627100,"AR","Planned","Complete",NA,238130,2,"James Steele"
"214",NA,214,1702456.015,"10/11/2023",627100,"AR","Planned","Partial",NA,238160,NA,"Briyage Roofing Llc"
"215",NA,215,1702448.015,"10/11/2023",627100,"AR","Prog Related","Partial",NA,238160,NA,"Wolverine Roofing & Solar Inc"
"216",NA,216,1703053.015,"10/11/2023",627100,"AR","Referral","Partial",NA,424490,2,"Riceland Foods, Inc."
"217",NA,217,1688231.015,"10/10/2023",627100,"AR","Complaint","Complete",NA,321920,5,"Barrel 53 Cooperage"
"218",NA,218,1727390.015,"10/10/2023",627100,"AR","Planned","Complete",NA,321920,4,"Robert Berendzen"
"219",NA,219,1701980.015,"10/09/2023",627100,"AR","Planned","Partial",NA,238160,2,"Roberts-Mcnutt, Inc."
"220",NA,220,1701978.015,"10/09/2023",627100,"AR","Planned","Partial",NA,236220,NA,"Nabholz Construction Corporation"
"221",NA,221,1701730.015,"10/05/2023",627100,"AR","Prog Related","Partial",NA,238910,NA,"Guyot Construction, Inc."
"222",NA,222,1701676.015,"10/05/2023",627100,"AR","Referral","Partial",NA,236116,1,"N & S Mechanical, Inc."
