"","establishment_name","type","naics1","seq_no","industry","description"
"11","Atl Holdings Llp","Fat/Cat","423130",909,"Tire and Tube Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of new and/or used tires and tubes for passenger and commercial vehicles.

Cross-References. Establishments primarily engaged in--"
"12","Complete Building Services, Inc.","Fat/Cat","238120",233,"Structural Steel and Precast Concrete Contractors","This industry comprises establishments primarily engaged in (1) erecting and assembling structural parts made from steel or precast concrete (e.g., steel beams, structural steel components, and similar products of precast concrete) and/or (2) assembling and installing other steel construction products (e.g., steel rods, bars, rebar, mesh, and cages) to reinforce poured-in-place concrete.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Concrete product (e.g., structural precast, structural prestressed) installation
Rebar contractors
Erecting structural steel
Reinforcing steel contractors
Placing and tying reinforcing rod at a construction site
Structural steel contractors
Precast concrete panel, slab, or form installation


Cross-References. Establishments primarily engaged in--"
"13","The Goodyear Tire & Rubber Company","Fat/Cat","326211",550,"Tire Manufacturing (except Retreading)","This U.S. industry comprises establishments primarily engaged in manufacturing tires and inner tubes from natural and synthetic rubber.

Cross-References."
"14","Luis Roldan","Fat/Cat","238190",245,"Other Foundation, Structure, and Building Exterior Contractors","This industry comprises establishments primarily engaged in building foundation and structure trades work (except poured concrete, structural steel, precast concrete, framing, masonry, glass and glazing, roofing, and siding).  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Curtain wall, metal, installation
Forms for poured concrete, erecting and dismantling
Welding, on-site, contractors
Ornamental metal work installation
Fire escape installation
Decorative steel and wrought iron work installation


Cross-References. Establishments primarily engaged in--"
"15","Asc Property Management, Inc.","Fat/Cat","531311",1507,"Residential Property Managers","This U.S. industry comprises establishments primarily engaged in managing residential real estate for others.

Cross-References."
"16","Heavy Equipment Movers And Installation, Llc","Fat/Cat","238290",252,"Other Building Equipment Contractors","This industry comprises establishments primarily engaged in installing or servicing building equipment (except electrical, plumbing, heating, cooling, or ventilation equipment).  The repair and maintenance of miscellaneous building equipment is included in this industry.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Automated and revolving door installation
Lightning protection equipment (e.g., lightning rod) installation
Boiler and pipe insulation installation
Machine rigging
Commercial-type door installation
Millwrights
Conveyor system installation
Revolving door installation
Overhead door, commercial- or industrial-type, installation
Dismantling large-scale machinery and equipment
Elevator installation
Satellite dish, household-type, installation
Escalator installation
Vacuum cleaning system, built-in, installation
Gasoline pump, service station, installation


Cross-References. Establishments primarily engaged in--"
"17","W&B Service Company Llp","Fat/Cat","811111",1962,"General Automotive Repair","This U.S. industry comprises establishments primarily engaged in providing (1) a wide range of mechanical and electrical repair and maintenance services for automotive vehicles, such as passenger cars, trucks, and vans, and all trailers or (2) engine repair and replacement.

Illustrative Examples:

Automobile repair garages (except gasoline service stations)
General automotive repair shops
Automotive engine repair and replacement shops


Cross-References. Establishments primarily engaged in--"
"18","Harold Senter Farms Inc.","Fat/Cat","115111",120,"Cotton Ginning","This U.S. industry comprises establishments primarily engaged in ginning cotton."
"19","Davault, Llc","Fat/Cat","111998",55,"All Other Miscellaneous Crop Farming","This U.S. industry comprises establishments primarily engaged in one of the following: (1) growing crops (except oilseeds and/or grains; vegetables and/or melons; fruits and/or tree nuts; greenhouse, nursery, and/or floriculture products; tobacco; cotton; sugarcane; hay; sugar beets; or peanuts); (2) growing a combination of crops (except a combination of oilseed(s) and grain(s); and a combination of fruit(s) and tree nut(s)) with no one crop or family of crops accounting for one-half of the establishment's agricultural production (i.e., value of crops for market); or (3) gathering tea or maple sap.

Illustrative Examples:

Agave farming
Mint farming
General combination crop farming (except oilseed and grain; vegetables and melons; fruit and tree nut combinations)
Hay seed farming
Grass seed farming
Hop farming
Spice farming


Cross-References. Establishments primarily engaged in--"
"20","Mdr Construction, Inc.","Fat/Cat","238210",248,"Electrical Contractors and Other Wiring Installation Contractors","This industry comprises establishments primarily engaged in installing and servicing electrical wiring and equipment.  Contractors included in this industry may include both the parts and labor when performing work.  These contractors may perform new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Airport runway lighting contractors
Fiber optic cable (except transmission line) contractors
Alarm system (e.g., fire, burglar), electric, installation only
Highway, street, and bridge lighting and electrical signal installation
Audio equipment (except automotive) installation contractors
Home automation system installation
Lighting system installation
Cable television hookup contractors
Telecommunications equipment and wiring (except transmission line) installation contractors
Computer and network cable installation
Traffic signal installation
Environmental control system installation
Cable splicing, electrical or fiber optic


Cross-References. Establishments primarily engaged in--"
"21","Eustaquio Gomez Escamilla","Fat/Cat","113310",107,"Logging","This industry comprises establishments primarily engaged in one or more of the following: (1) cutting timber; (2) cutting and transporting timber; and (3) producing wood chips in the field.

Cross-References. Establishments primarily engaged in--"
"22","Atlas Tube (Arkansas) Inc.","Fat/Cat","331210",598,"Iron and Steel Pipe and Tube Manufacturing from Purchased Steel","This industry comprises establishments primarily engaged in manufacturing welded, riveted, or seamless pipe and tube from purchased iron or steel.

Cross-References."
"23","J&J Almighty Llc","Fat/Cat","238990",270,"All Other Specialty Trade Contractors","This industry comprises establishments primarily engaged in specialized trades (except foundation, structure, and building exterior contractors; building equipment contractors; building finishing contractors; and site preparation contractors).  The specialty trade work performed includes new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Billboard erection
Outdoor swimming pool construction
Paver, brick (e.g., driveway, patio, sidewalk), installation
Crane rental with operator
Paving, residential and commercial driveway and parking lot
Sandblasting building exteriors
Fence installation
Scaffold erecting and dismantling
Interlocking brick and block installation
Steeplejack work
Manufactured (mobile) home set up and tie-down work
Driveway paving or sealing


Cross-References. Establishments primarily engaged in--"
"24","Anthony Timberlands, Inc.","Fat/Cat","321113",416,"Sawmills","This U.S. industry comprises establishments primarily engaged in sawing dimension lumber, boards, beams, timbers, poles, ties, shingles, shakes, siding, and wood chips from logs or bolts.  Sawmills may plane the rough lumber that they make with a planing machine to achieve smoothness and uniformity of size.

Cross-References. Establishments primarily engaged in--"
"25","Arkansas Box, Llc","Fat/Cat","322211",445,"Corrugated and Solid Fiber Box Manufacturing","This U.S. industry comprises establishments primarily engaged in laminating purchased paper or paperboard into corrugated or solid fiber boxes and related products, such as pads, partitions, pallets, and corrugated paper without manufacturing paperboard.  These boxes are generally used for shipping.

Cross-References. Establishments primarily engaged in--"
"26","Southern Diversified Technologies Inc","Fat/Cat","238210",248,"Electrical Contractors and Other Wiring Installation Contractors","This industry comprises establishments primarily engaged in installing and servicing electrical wiring and equipment.  Contractors included in this industry may include both the parts and labor when performing work.  These contractors may perform new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Airport runway lighting contractors
Fiber optic cable (except transmission line) contractors
Alarm system (e.g., fire, burglar), electric, installation only
Highway, street, and bridge lighting and electrical signal installation
Audio equipment (except automotive) installation contractors
Home automation system installation
Lighting system installation
Cable television hookup contractors
Telecommunications equipment and wiring (except transmission line) installation contractors
Computer and network cable installation
Traffic signal installation
Environmental control system installation
Cable splicing, electrical or fiber optic


Cross-References. Establishments primarily engaged in--"
"27","Utility Trailer Manufacturing Company","Fat/Cat","336212",815,"Truck Trailer Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing truck trailers, truck trailer chassis, cargo container chassis, detachable trailer bodies, and detachable trailer chassis for sale separately.

Cross-References."
"28","Peco Foods, Inc","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"29","Young'S General Contracting, Inc.","Fat/Cat","237990",227,"Other Heavy and Civil Engineering Construction","This industry comprises establishments primarily engaged in heavy and civil engineering construction projects (excluding highway, street, bridge, and distribution line construction).  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to heavy and civil engineering construction projects (excluding highway, street, bridge, distribution line, oil and gas structure, and utilities building and structure construction).  Construction projects involving water resources (e.g., dredging and land drainage), development of marine facilities, and projects involving open space improvement (e.g., parks and trails) are included in this industry.

Illustrative Examples:

Channel construction
Land drainage contractors
Dam construction
Marine construction
Dock construction
Microtunneling contractors
Dredging (e.g., canal, channel, ditch, waterway)
Nuclear waste disposal site construction
Earth retention system construction
Flood control project construction
Park ground and recreational open space improvement construction
Railroad construction
Golf course construction
Subway construction
Horizontal drilling (e.g., cable, pipeline, sewer installation)
Trenching, underwater
Hydroelectric generating station construction
Tunnel construction 


Cross-References. Establishments primarily engaged in--"
"30","Riceland Foods Inc","Fat/Cat","311212",280,"Rice Milling","This U.S. industry comprises establishments primarily engaged in one of the following: (1) milling rice; (2) cleaning and polishing rice; or (3) milling, cleaning, and polishing rice.  The establishments in this industry may package the rice they mill with other ingredients.

Cross-References. Establishments primarily engaged in--"
"31","H. J. Saeler, Inc.","Fat/Cat","484220",1239,"Specialized Freight (except Used Goods) Trucking, Local","This industry comprises establishments primarily engaged in providing local, specialized trucking.  Local trucking establishments provide trucking within a metropolitan area that may cross state lines.  Generally the trips are same-day return.

Illustrative Examples:

Local agricultural products trucking
Local dump trucking (e.g., gravel, sand, top-soil)
Local boat hauling
Local livestock trucking
Local bulk liquids trucking


Cross-References. Establishments primarily engaged in--"
"32","Riggs Tree Service Inc.","Fat/Cat","561730",1701,"Landscaping Services","This industry comprises (1) establishments primarily engaged in providing landscape care and maintenance services and/or installing trees, shrubs, plants, lawns, or gardens and (2) establishments primarily engaged in providing these services along with the design of landscape plans and/or the construction (i.e., installation) of walkways, retaining walls, decks, fences, ponds, and similar structures.

Cross-References. Establishments primarily engaged in--"
"33","Hixson Lumber Company, Llc","Fat/Cat","321113",416,"Sawmills","This U.S. industry comprises establishments primarily engaged in sawing dimension lumber, boards, beams, timbers, poles, ties, shingles, shakes, siding, and wood chips from logs or bolts.  Sawmills may plane the rough lumber that they make with a planing machine to achieve smoothness and uniformity of size.

Cross-References. Establishments primarily engaged in--"
"34","Bss Roofing, Llc","Fat/Cat","238160",241,"Roofing Contractors","This industry comprises establishments primarily engaged in roofing.  This industry also includes establishments treating roofs (i.e., spraying, painting, or coating) and installing skylights.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Painting, spraying, or coating, roof
Sheet metal roofing installation
Shake and shingle, roof, installation	
Skylight installation


Cross-References. Establishments primarily engaged in--"
"35","K-Mac Enterprises, Inc.","Fat/Cat","722513",1955,"Limited-Service Restaurants","This U.S. industry comprises establishments primarily engaged in providing food services (except snack and nonalcoholic beverage bars) where patrons generally order or select items and pay before eating.  Food and drink may be consumed on premises, taken out, or delivered to the customer's location.  Some establishments in this industry may provide these food services in combination with selling alcoholic beverages.

Illustrative Examples:

Delicatessen restaurants
Pizza delivery shops
Family restaurants, limited-service
Takeout eating places
Fast-food restaurants
Fast casual restaurants
Takeout sandwich shops
Limited-service pizza parlors


Cross-References. Establishments primarily engaged in--"
"36","Anthony Timberlands, Inc.","Fat/Cat","321912",427,"Cut Stock, Resawing Lumber, and Planing","This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing dimension lumber from purchased lumber; (2) manufacturing dimension stock (i.e., shapes) or cut stock; (3) resawing the output of sawmills; and (4) planing purchased lumber.  These establishments generally use woodworking machinery, such as jointers, planers, lathes, and routers to shape wood.

Cross-References. Establishments primarily engaged in--"
"37","Sls Trucking, Inc.","Fat/Cat","484230",1241,"Specialized Freight (except Used Goods) Trucking, Long-Distance","This industry comprises establishments primarily engaged in providing long-distance specialized trucking.  These establishments provide trucking between metropolitan areas that may cross North American country borders.

Illustrative Examples:

Long-distance automobile carrier trucking
Long-distance refrigerated product trucking
Long-distance bulk liquid trucking
Long-distance trucking of waste
Long-distance hazardous material trucking


Cross-References. Establishments primarily engaged in--"
"38","Tyson Foods, Inc.","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"39","Hixson Lumber Company, Llc","Fat/Cat","423310",919,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of lumber; plywood; reconstituted wood fiber products; wood fencing; doors and windows and their frames (all materials); wood roofing and siding; and/or other wood or metal millwork.

Cross-References. Establishments primarily engaged in--"
"40","Hank'S Furniture, Inc.","Fat/Cat","531311",1507,"Residential Property Managers","This U.S. industry comprises establishments primarily engaged in managing residential real estate for others.

Cross-References."
"41","Sky High Steel Erectors, Llc","Fat/Cat","238120",233,"Structural Steel and Precast Concrete Contractors","This industry comprises establishments primarily engaged in (1) erecting and assembling structural parts made from steel or precast concrete (e.g., steel beams, structural steel components, and similar products of precast concrete) and/or (2) assembling and installing other steel construction products (e.g., steel rods, bars, rebar, mesh, and cages) to reinforce poured-in-place concrete.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Concrete product (e.g., structural precast, structural prestressed) installation
Rebar contractors
Erecting structural steel
Reinforcing steel contractors
Placing and tying reinforcing rod at a construction site
Structural steel contractors
Precast concrete panel, slab, or form installation


Cross-References. Establishments primarily engaged in--"
"42","Evergreen Packaging, Inc.","Fat/Cat","322130",442,"Paperboard Mills","This industry comprises establishments primarily engaged in manufacturing paperboard (e.g., can/drum stock, container board, corrugating medium, folding carton stock, linerboard, tube) from pulp.  These establishments may manufacture or purchase pulp.  In addition, the establishments may also convert the paperboard they make.

Cross-References. Establishments primarily engaged in--"
"43","Producers Rice Mill Inc","Fat/Cat","311212",280,"Rice Milling","This U.S. industry comprises establishments primarily engaged in one of the following: (1) milling rice; (2) cleaning and polishing rice; or (3) milling, cleaning, and polishing rice.  The establishments in this industry may package the rice they mill with other ingredients.

Cross-References. Establishments primarily engaged in--"
"44","Terral Riverservice, Inc.","Fat/Cat","483211",1226,"Inland Water Freight Transportation","This U.S. industry comprises establishments primarily engaged in providing inland water transportation of cargo on lakes, rivers, or intracoastal waterways (except on the Great Lakes System).

Cross-References. Establishments primarily engaged in--"
"45","Sage V Foods, Llc","Fat/Cat","424490",1022,"Other Grocery and Related Products Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of groceries and related products (except a general line of groceries; packaged frozen food; dairy products (except dried and canned); poultry products (except canned); confectioneries; fish and seafood (except canned); meat products (except canned); and fresh fruits and vegetables).  Included in this industry are establishments primarily engaged in the bottling and merchant wholesale distribution of spring and mineral waters processed by others.

Illustrative Examples:

Bakery products (except frozen) merchant wholesalers
Canned seafood merchant wholesalers
Canned fish merchant wholesalers
Canned vegetables merchant wholesalers
Canned fruits merchant wholesalers
Dried milk merchant wholesalers
Canned meats merchant wholesalers
Soft drinks merchant wholesalers
Canned milk merchant wholesalers


Cross-References. Establishments primarily engaged in--"
"46","Leslie T. Brown Farms Ptr","Fat/Cat","111998",55,"All Other Miscellaneous Crop Farming","This U.S. industry comprises establishments primarily engaged in one of the following: (1) growing crops (except oilseeds and/or grains; vegetables and/or melons; fruits and/or tree nuts; greenhouse, nursery, and/or floriculture products; tobacco; cotton; sugarcane; hay; sugar beets; or peanuts); (2) growing a combination of crops (except a combination of oilseed(s) and grain(s); and a combination of fruit(s) and tree nut(s)) with no one crop or family of crops accounting for one-half of the establishment's agricultural production (i.e., value of crops for market); or (3) gathering tea or maple sap.

Illustrative Examples:

Agave farming
Mint farming
General combination crop farming (except oilseed and grain; vegetables and melons; fruit and tree nut combinations)
Hay seed farming
Grass seed farming
Hop farming
Spice farming


Cross-References. Establishments primarily engaged in--"
"47","Intimidator, Llc","Fat/Cat","336999",854,"All Other Transportation Equipment Manufacturing","This U.S. industry comprises establishments primarily engaged in manufacturing transportation equipment (except motor vehicles, motor vehicle parts, boats, ships, railroad rolling stock, aerospace products, motorcycles, bicycles, armored vehicles, and tanks).

Illustrative Examples:

All-terrain vehicles (ATVs), wheeled or tracked, manufacturing
Animal-drawn vehicles and parts manufacturing
Gocarts (except children's) manufacturing
Golf carts and similar motorized passenger carriers manufacturing
Race cars manufacturing
Snowmobiles and parts manufacturing


Cross-References. Establishments primarily engaged in--"
"48","Frit Industries, Inc.","Fat/Cat","325314",497,"Fertilizer (Mixing Only) Manufacturing","This U.S. industry comprises establishments primarily engaged in mixing ingredients made elsewhere into fertilizers.

Cross-References. Establishments primarily engaged in--"
"49","Little Rock Ambulance Authority","Fat/Cat","621910",1811,"Ambulance Services","This industry comprises establishments primarily engaged in providing transportation of patients by ground or air, along with medical care.  These services are often provided during a medical emergency but are not restricted to emergencies.  The vehicles are equipped with lifesaving equipment operated by medically trained personnel.

Cross-References."
"50","Colom Construction Co., Inc.","Fat/Cat","237990",227,"Other Heavy and Civil Engineering Construction","This industry comprises establishments primarily engaged in heavy and civil engineering construction projects (excluding highway, street, bridge, and distribution line construction).  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to heavy and civil engineering construction projects (excluding highway, street, bridge, distribution line, oil and gas structure, and utilities building and structure construction).  Construction projects involving water resources (e.g., dredging and land drainage), development of marine facilities, and projects involving open space improvement (e.g., parks and trails) are included in this industry.

Illustrative Examples:

Channel construction
Land drainage contractors
Dam construction
Marine construction
Dock construction
Microtunneling contractors
Dredging (e.g., canal, channel, ditch, waterway)
Nuclear waste disposal site construction
Earth retention system construction
Flood control project construction
Park ground and recreational open space improvement construction
Railroad construction
Golf course construction
Subway construction
Horizontal drilling (e.g., cable, pipeline, sewer installation)
Trenching, underwater
Hydroelectric generating station construction
Tunnel construction 


Cross-References. Establishments primarily engaged in--"
"51","Wayne Farms Llc","Fat/Cat","112340",76,"Poultry Hatcheries","This industry comprises establishments primarily engaged in hatching poultry of any kind."
"52","Royal Oak Enterprises, Llc","Fat/Cat","325194",485,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing","This U.S. industry comprises establishments primarily engaged in one or more of the following: (1) distilling wood or gum into products, such as tall oil and wood distillates; (2) distilling coal tars; (3) manufacturing wood or gum chemicals, such as naval stores, natural tanning materials, charcoal briquettes, and charcoal (except activated); and (4) manufacturing cyclic crudes or cyclic intermediates (i.e., hydrocarbons, except aromatic petrochemicals) from refined petroleum or natural gas.

Cross-references. Establishments primarily engaged in--"
"53","Paschal Heating & Air Conditioning Co., Inc.","Fat/Cat","238220",250,"Plumbing, Heating, and Air-Conditioning Contractors","This industry comprises establishments primarily engaged in installing and servicing plumbing, heating, and air-conditioning equipment.  Contractors in this industry may provide both parts and labor when performing work.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Cooling tower installation
Heating, ventilation, and air-conditioning (HVAC) contractors
Duct work (e.g., cooling, dust collection, exhaust, heating, ventilation) installation
Lawn sprinkler system installation
Fire sprinkler system installation
Mechanical contractors
Fireplace, natural gas, installation
Refrigeration system (e.g., commercial, industrial, scientific) installation
Furnace installation
Sewer hookup and connection, building


Cross-References. Establishments primarily engaged in--"
"54","Staley Electric Services, Llc","Fat/Cat","238210",248,"Electrical Contractors and Other Wiring Installation Contractors","This industry comprises establishments primarily engaged in installing and servicing electrical wiring and equipment.  Contractors included in this industry may include both the parts and labor when performing work.  These contractors may perform new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Airport runway lighting contractors
Fiber optic cable (except transmission line) contractors
Alarm system (e.g., fire, burglar), electric, installation only
Highway, street, and bridge lighting and electrical signal installation
Audio equipment (except automotive) installation contractors
Home automation system installation
Lighting system installation
Cable television hookup contractors
Telecommunications equipment and wiring (except transmission line) installation contractors
Computer and network cable installation
Traffic signal installation
Environmental control system installation
Cable splicing, electrical or fiber optic


Cross-References. Establishments primarily engaged in--"
"55","Three Rivers Senior Services, Inc.","Fat/Cat","623110",1828,"Nursing Care Facilities (Skilled Nursing Facilities)","This industry comprises establishments primarily engaged in providing inpatient nursing and rehabilitative services.  The care is generally provided for an extended period of time to individuals requiring nursing care.  These establishments have a permanent core staff of registered or licensed practical nurses who, along with other staff, provide nursing and continuous personal care services.

Illustrative Examples:

Convalescent homes or convalescent hospitals (except psychiatric)
Nursing homes
Rest homes with nursing care
Assisted living facilities (without nursing facilities) for the elderly with nursing care
Inpatient care hospices


Cross-References."
"56","Mitchell Wood","Fat/Cat","238120",233,"Structural Steel and Precast Concrete Contractors","This industry comprises establishments primarily engaged in (1) erecting and assembling structural parts made from steel or precast concrete (e.g., steel beams, structural steel components, and similar products of precast concrete) and/or (2) assembling and installing other steel construction products (e.g., steel rods, bars, rebar, mesh, and cages) to reinforce poured-in-place concrete.  The work performed may include new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Concrete product (e.g., structural precast, structural prestressed) installation
Rebar contractors
Erecting structural steel
Reinforcing steel contractors
Placing and tying reinforcing rod at a construction site
Structural steel contractors
Precast concrete panel, slab, or form installation


Cross-References. Establishments primarily engaged in--"
"57","Howard Transportation, Inc.","Fat/Cat","484121",1233,"General Freight Trucking, Long-Distance, Truckload","This U.S. industry comprises establishments primarily engaged in providing long-distance general freight truckload (TL) trucking.  These long-distance general freight truckload carrier establishments provide full truck movement of freight from origin to destination.  The shipment of freight on a truck is characterized as a full single load not combined with other shipments.

Cross-References. Establishments primarily engaged in--"
"58","Cooper Tire & Rubber Company","Fat/Cat","423130",909,"Tire and Tube Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of new and/or used tires and tubes for passenger and commercial vehicles.

Cross-References. Establishments primarily engaged in--"
"59","Tyson Poultry, Inc","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"60","Big River Steel, Llc","Fat/Cat","331110",595,"Iron and Steel Mills and Ferroalloy Manufacturing","This industry comprises establishments primarily engaged in one or more of the following: (1) direct reduction of iron ore; (2) manufacturing pig iron in molten or solid form; (3) converting pig iron into steel; (4) making steel; (5) making steel and manufacturing shapes (e.g., bar, plate, rod, sheet, strip, wire); (6) making steel and forming pipe and tube; and (7) manufacturing electrometallurgical ferroalloys. Ferroalloys add critical elements, such as silicon and manganese for carbon steel and chromium, vanadium, tungsten, titanium, and molybdenum for low- and high-alloy metals.  Ferroalloys include iron-rich alloys and more pure forms of elements added during the steel manufacturing process that alter or improve the characteristics of the metal.

Cross-References. Establishments primarily engaged in--"
"61","White River Marine Group, Llc","Fat/Cat","336612",849,"Boat Building","This U.S. industry comprises establishments primarily engaged in building boats.  Boats are defined as watercraft not built in shipyards and typically of the type suitable or intended for personal use.  Included in this industry are establishments that manufacture heavy-duty inflatable rubber or inflatable plastic boats (RIBs).

Illustrative Examples:

Inflatable plastic boats, heavy-duty, manufacturing
Inflatable rubber boats, heavy-duty, manufacturing
Boats (e.g., motorboats, rowboats, canoes, kayaks) manufacturing
Rigid inflatable boats (RIBs) manufacturing
Sailboat building, not done in shipyards
Yacht building, not done in shipyards


Cross-References. Establishments primarily engaged in--"
"62","North Arkansas Regional Medical Center","Fat/Cat","622110",1818,"General Medical and Surgical Hospitals","This industry comprises establishments known and licensed as general medical and surgical hospitals primarily engaged in providing diagnostic and medical treatment (both surgical and nonsurgical) to inpatients with any of a wide variety of medical conditions.  These establishments maintain inpatient beds and provide patients with food services that meet their nutritional requirements.  These hospitals have an organized staff of physicians and other medical staff to provide patient care services.  These establishments usually provide other services, such as outpatient services, anatomical pathology services, diagnostic X-ray services, clinical laboratory services, operating room services for a variety of procedures, and pharmacy services.
"
